City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
333,Phenix City,US,32.471,-85.0008,62.6,67,1,11.5,clear sky
334,Bambamarca,PE,-6.6833,-78.5333,54.19,99,100,3.65,light rain
335,Bathsheba,BB,13.2167,-59.5167,78.8,69,40,21.85,scattered clouds
336,General Roca,AR,-39.0333,-67.5833,60.8,67,0,9.33,clear sky
337,Daman,IN,20.4167,72.85,78.84,58,93,3.62,overcast clouds
338,La Palma,US,33.8464,-118.0467,86.0,15,1,13.8,clear sky
339,Saint-Pierre,RE,-21.3393,55.4781,77.0,73,0,6.91,clear sky
340,Huntington,US,38.4193,-82.4452,46.4,53,75,12.66,broken clouds
341,Magadan,RU,59.5667,150.8,12.16,83,48,3.2,scattered clouds
342,Sartell,US,45.6216,-94.2069,42.8,39,1,6.91,clear sky
343,Avera,US,33.194,-82.5271,64.4,75,75,6.91,broken clouds
344,Ayan,RU,56.45,138.1667,23.31,88,100,4.94,overcast clouds
345,Privolnyy,RU,44.0998,46.6587,39.18,88,47,7.16,scattered clouds
346,Griffith,US,41.5284,-87.4237,43.0,42,75,13.8,broken clouds
347,Lagos,NG,6.5833,3.75,78.66,87,6,3.87,clear sky
348,Marawi,PH,7.9986,124.2928,81.0,82,86,5.01,overcast clouds
